hsa:440034	DKFZp686K1684; uncharacterized LOC440034
hsa:51714	SELT; selenoprotein T
hsa:83642	SELO; selenoprotein O
hsa:101927178	uncharacterized LOC101927178
hsa:101928627	RP11-87M18.2; uncharacterized LOC101928627
hsa:100506422	putative deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323
hsa:284600	uncharacterized LOC284600
hsa:101928801	uncharacterized LOC101928801
hsa:101928895	uncharacterized LOC101928895
hsa:102724312	uncharacterized LOC102724312
hsa:100506504	uncharacterized LOC100506504
hsa:100996583	RP3-395M20.9; uncharacterized LOC100996583
hsa:101930320	extensin-like
hsa:102724415	uncharacterized LOC102724415
hsa:102724429	uncharacterized LOC102724429
hsa:100287877	uncharacterized LOC100287877
hsa:102724450	uncharacterized LOC102724450
hsa:101928836	uncharacterized LOC101928836
hsa:100129476	uncharacterized LOC100129476
hsa:102724539	uncharacterized LOC102724539
hsa:102724552	uncharacterized LOC102724552
hsa:102724571	uncharacterized LOC102724571
hsa:102724647	uncharacterized LOC102724647
hsa:102724856	uncharacterized LOC102724856
hsa:101927507	uncharacterized LOC101927507
hsa:101927479	uncharacterized LOC101927479
hsa:102724910	uncharacterized LOC102724910
hsa:101927441	uncharacterized LOC101927441
hsa:101927417	uncharacterized LOC101927417
hsa:101928566	TBC1D3P6; TBC1 domain family member 3H-like
hsa:400743	uncharacterized LOC400743
hsa:101927895	uncharacterized LOC101927895
hsa:101927930	aflatoxin B1 aldehyde reductase member 4-like
hsa:644083	uncharacterized LOC644083
hsa:102723558	uncharacterized LOC102723558
hsa:100996511	LINC01355, RP5-1057J7.6; long intergenic non-protein coding RNA 1355
hsa:101928189	uncharacterized LOC101928189
hsa:101928216	uncharacterized LOC101928216
hsa:101928303	uncharacterized LOC101928303
hsa:101928391	uncharacterized LOC101928391
hsa:102723760	uncharacterized LOC102723760
hsa:102725410	uncharacterized LOC102725410
hsa:102725413	uncharacterized LOC102725413
hsa:102725522	uncharacterized LOC102725522
hsa:101929901	uncharacterized LOC101929901
hsa:102723924	uncharacterized LOC102723924
hsa:101930417	uncharacterized LOC101930417
hsa:101929444	uncharacterized LOC101929444
hsa:100134237	uncharacterized LOC100134237
hsa:102723832	uncharacterized LOC102723832
hsa:400748	uncharacterized LOC400748
hsa:102724077	LINC01389; long intergenic non-protein coding RNA 1389
hsa:101930541	uncharacterized LOC101930541
hsa:101929673	uncharacterized LOC101929673
hsa:102724045	uncharacterized LOC102724045
hsa:102724033	uncharacterized LOC102724033
hsa:102724021	uncharacterized LOC102724021
hsa:101929626	RP4-533D7.5; uncharacterized LOC101929626
hsa:102723990	uncharacterized LOC102723990
hsa:101929609	uncharacterized LOC101929609
hsa:102725351	uncharacterized LOC102725351
hsa:101927458	uncharacterized LOC101927458, transcript variant X1
hsa:101927342	RP11-550H2.1; uncharacterized LOC101927342
hsa:102724572	uncharacterized LOC102724572
hsa:102724548	uncharacterized LOC102724548
hsa:101929986	uncharacterized LOC101929986
hsa:102724481	uncharacterized LOC102724481
hsa:102724416	uncharacterized LOC102724416
hsa:101927084	LINC01359, RP11-182I10.3; long intergenic non-protein coding RNA 1359
hsa:101927065	uncharacterized LOC101927065
hsa:101927034	ROR1-AS1, RP11-24J23.2; ROR1 antisense RNA 1
hsa:100996301	FOXD3-AS1, pasFOXD3; FOXD3 antisense RNA 1 (head to head)
hsa:102724281	uncharacterized LOC102724281
hsa:101926925	LINC01358, RP4-794H19.4; long intergenic non-protein coding RNA 1358
hsa:101926907	uncharacterized LOC101926907
hsa:101929757	uncharacterized LOC101929757
hsa:101930559	uncharacterized LOC101930559
hsa:102724154	uncharacterized LOC102724154
hsa:102724140	uncharacterized LOC102724140
hsa:102724125	uncharacterized LOC102724125
hsa:102725447	uncharacterized LOC102725447
hsa:400756	RP11-230B22.1; uncharacterized LOC400756
hsa:102723784	uncharacterized LOC102723784
hsa:101928334	uncharacterized LOC101928334
hsa:101930120	uncharacterized LOC101930120
hsa:101928270	RP11-413P11.1; uncharacterized LOC101928270
hsa:102723700	uncharacterized LOC102723700
hsa:102723661	uncharacterized LOC102723661
hsa:101928219	uncharacterized LOC101928219
hsa:101928169	uncharacterized LOC101928169
hsa:100996630	uncharacterized LOC100996630
hsa:101928118	RP11-57H12.3; uncharacterized LOC101928118
hsa:101928098	uncharacterized LOC101928098
hsa:100505940	uncharacterized LOC100505940
hsa:102723480	uncharacterized LOC102723480
hsa:102723436	uncharacterized LOC102723436
hsa:102723410	uncharacterized LOC102723410
hsa:101927975	uncharacterized LOC101927975
hsa:101927952	uncharacterized LOC101927952
hsa:101927933	uncharacterized LOC101927933
hsa:101927891	PKN2-AS1, RP11-76N22.2; PKN2 antisense RNA 1
hsa:101927871	uncharacterized LOC101927871
hsa:101930232	uncharacterized LOC101930232
hsa:102724892	uncharacterized LOC102724892
hsa:101927773	uncharacterized LOC101927773
hsa:101927656	uncharacterized LOC101927656
hsa:102725338	uncharacterized LOC102725338
hsa:101928476	RP11-251P6.1; uncharacterized LOC101928476
hsa:101928560	uncharacterized LOC101928560
hsa:101930362	uncharacterized LOC101930362
hsa:101928718	uncharacterized LOC101928718
hsa:101928754	uncharacterized LOC101928754
hsa:101930375	uncharacterized LOC101930375
hsa:101928822	RP5-1073O3.2; uncharacterized LOC101928822, transcript variant X1
hsa:101928846	HIPK1-AS1, RP5-1073O3.7; HIPK1 antisense RNA 1
hsa:101928890	uncharacterized LOC101928890
hsa:101928977	uncharacterized LOC101928977
hsa:101929023	RP4-655J12.4; uncharacterized LOC101929023
hsa:101929147	RP11-418J17.1; uncharacterized LOC101929147
hsa:101928066	uncharacterized LOC101928066
hsa:284561	uncharacterized LOC284561
hsa:101929325	uncharacterized LOC101929325
hsa:102724893	uncharacterized LOC102724893
hsa:101929438	RP6-206I17.2; uncharacterized LOC101929438, transcript variant X1
hsa:101930646	uncharacterized LOC101930646
hsa:101930662	uncharacterized LOC101930662
hsa:101930314	uncharacterized LOC101930314
hsa:102723367	uncharacterized LOC102723367
hsa:101060254	myomegalin-like
hsa:101930416	myomegalin-like
hsa:102723321	uncharacterized LOC102723321
hsa:100505824	uncharacterized LOC100505824
hsa:101930551	abhydrolase domain-containing protein FAM108A2/A3-like
hsa:101929257	uncharacterized LOC101929257
hsa:101927468	RP4-565E6.1; uncharacterized LOC101927468
hsa:100293748	uncharacterized LOC100293748
hsa:102725513	uncharacterized LOC102725513
hsa:102724012	uncharacterized LOC102724012
hsa:100996521	uncharacterized LOC100996521
hsa:100507670	uncharacterized LOC100507670
hsa:101927886	uncharacterized LOC101927886
hsa:101927929	uncharacterized LOC101927929
hsa:101927949	uncharacterized LOC101927949
hsa:101927988	LINC01527, lnc-SPRR2D-1; long intergenic non-protein coding RNA 1527
hsa:101928059	uncharacterized LOC101928059
hsa:101928101	uncharacterized LOC101928101
hsa:100131107	UPF0607 protein ENSP00000383783-like
hsa:729867	RP11-536C5.7; uncharacterized LOC729867
hsa:101928319	uncharacterized LOC101928319
hsa:101928264	uncharacterized LOC101928264
hsa:101928202	RP11-85G21.2; uncharacterized LOC101928202
hsa:102724222	uncharacterized LOC102724222
hsa:102724206	uncharacterized LOC102724206
hsa:101928177	uncharacterized LOC101928177
hsa:102724466	uncharacterized LOC102724466
hsa:101928512	uncharacterized LOC101928512
hsa:101928459	uncharacterized LOC101928459
hsa:102725304	uncharacterized LOC102725304
hsa:102724387	uncharacterized LOC102724387
hsa:102724358	uncharacterized LOC102724358
hsa:102724329	uncharacterized LOC102724329
hsa:284577	RP11-576D8.4; uncharacterized LOC284577
hsa:101929459	uncharacterized LOC101929459
hsa:102723543	uncharacterized LOC102723543
hsa:102723529	uncharacterized LOC102723529
hsa:100506775	LINC01353, RP11-134P9.3; long intergenic non-protein coding RNA 1353
hsa:102723494	uncharacterized LOC102723494
hsa:101929388	uncharacterized LOC101929388
hsa:102723465	uncharacterized LOC102723465
hsa:101929367	uncharacterized LOC101929367
hsa:101929343	uncharacterized LOC101929343
hsa:101929326	uncharacterized LOC101929326
hsa:101929305	uncharacterized LOC101929305
hsa:102725514	uncharacterized LOC102725514
hsa:400800	FLJ43585; uncharacterized LOC400800
hsa:102725521	uncharacterized LOC102725521
hsa:102723336	uncharacterized LOC102723336
hsa:101929184	LINC01031, TCONS_00000361; long intergenic non-protein coding RNA 1031
hsa:102724954	LINC01032; long intergenic non-protein coding RNA 1032
hsa:101929120	LINC01351, RP11-547I7.2; long intergenic non-protein coding RNA 1351
hsa:102724919	uncharacterized LOC102724919
hsa:102724897	uncharacterized LOC102724897
hsa:101929069	uncharacterized LOC101929069
hsa:101929044	uncharacterized LOC101929044
hsa:102724857	uncharacterized LOC102724857
hsa:102724846	uncharacterized LOC102724846
hsa:102724830	uncharacterized LOC102724830
hsa:101928933	uncharacterized LOC101928933
hsa:646976	uncharacterized LOC646976
hsa:101928866	uncharacterized LOC101928866
hsa:102724661	uncharacterized LOC102724661
hsa:102724649	uncharacterized LOC102724649
hsa:101930532	uncharacterized LOC101930532
hsa:101928727	uncharacterized LOC101928727
hsa:102724601	uncharacterized LOC102724601
hsa:101928696	RP1-102G20.5; uncharacterized LOC101928696
hsa:102724578	uncharacterized LOC102724578
hsa:102724568	uncharacterized LOC102724568
hsa:101928673	uncharacterized LOC101928673
hsa:102724541	uncharacterized LOC102724541
hsa:102724528	uncharacterized LOC102724528
hsa:101928628	uncharacterized LOC101928628
hsa:101928596	uncharacterized LOC101928596
hsa:101930574	HERV-V_19q13.41 provirus ancestral Env polyprotein 2-like
hsa:101928650	RP11-576I22.2; uncharacterized LOC101928650
hsa:100505650	uncharacterized LOC100505650
hsa:102724017	uncharacterized LOC102724017
hsa:100506161	TAF1A-AS1; TAF1A antisense RNA 1
hsa:102723986	uncharacterized LOC102723986
hsa:102725446	uncharacterized LOC102725446
hsa:101929750	uncharacterized LOC101929750
hsa:101930644	uncharacterized LOC101930644
hsa:101929689	uncharacterized LOC101929689
hsa:101929713	uncharacterized LOC101929713
hsa:102723886	uncharacterized LOC102723886
hsa:101929648	uncharacterized LOC101929648
hsa:101929666	uncharacterized LOC101929666
hsa:101929612	uncharacterized LOC101929612
hsa:102723802	uncharacterized LOC102723802
hsa:102723761	uncharacterized LOC102723761
hsa:91548	RP11-122M14.1; uncharacterized LOC91548
hsa:101930114	uncharacterized LOC101930114
hsa:101929476	uncharacterized LOC101929476
hsa:100509303	uncharacterized LOC100509303
hsa:101929385	uncharacterized LOC101929385
hsa:101929363	uncharacterized LOC101929363
hsa:102724046	uncharacterized LOC102724046
hsa:101927247	uncharacterized LOC101927247
hsa:102723834	uncharacterized LOC102723834
hsa:102723817	uncharacterized LOC102723817
hsa:101927185	uncharacterized LOC101927185
hsa:101930657	uncharacterized LOC101930657
hsa:101930466	helicase SRCAP-like
hsa:728728	putative uncharacterized protein FLJ44672-like
hsa:101927401	uncharacterized LOC101927401
hsa:102723935	uncharacterized LOC102723935
hsa:101927478	RP4-613A2.1; uncharacterized LOC101927478
hsa:101927504	uncharacterized LOC101927504
hsa:101927532	uncharacterized LOC101927532
hsa:101927553	uncharacterized LOC101927553
hsa:102724026	uncharacterized LOC102724026
hsa:102724041	uncharacterized LOC102724041
hsa:101927660	uncharacterized LOC101927660
hsa:101927683	RP11-66A2.2; uncharacterized LOC101927683
hsa:101927711	uncharacterized LOC101927711
hsa:101927736	uncharacterized LOC101927736
hsa:102724100	uncharacterized LOC102724100
hsa:100130249	PP2672; uncharacterized LOC100130249
hsa:101927906	uncharacterized LOC101927906
hsa:102724174	uncharacterized LOC102724174
hsa:100506929	uncharacterized LOC100506929
hsa:101928139	uncharacterized LOC101928139
hsa:101928089	uncharacterized LOC101928089
hsa:440742	uncharacterized LOC440742
hsa:102724256	uncharacterized LOC102724256
hsa:101930248	uncharacterized LOC101930248
hsa:102724382	uncharacterized LOC102724382
hsa:400812	FLJ39095; uncharacterized LOC400812
hsa:102724425	uncharacterized LOC102724425
hsa:102724435	uncharacterized LOC102724435
hsa:102724446	uncharacterized LOC102724446
hsa:101928226	uncharacterized LOC101928226
hsa:101930516	uncharacterized LOC101930516
hsa:101927262	uncharacterized LOC101927262
hsa:727944	uncharacterized LOC727944
hsa:101927362	uncharacterized LOC101927362
hsa:101060391	formin-like protein 16-like
hsa:101927426	uncharacterized LOC101927426
hsa:102723717	uncharacterized LOC102723717
hsa:102723730	uncharacterized LOC102723730
hsa:101927466	uncharacterized LOC101927466
hsa:101927534	uncharacterized LOC101927534
hsa:101927578	uncharacterized LOC101927578
hsa:100506014	uncharacterized LOC100506014
hsa:101929510	uncharacterized LOC101929510
hsa:101929531	uncharacterized LOC101929531
hsa:102724141	uncharacterized LOC102724141
hsa:102723909	uncharacterized LOC102723909
hsa:100506317	uncharacterized LOC100506317
hsa:101929643	uncharacterized LOC101929643
hsa:100996549	uncharacterized LOC100996549
hsa:101929882	uncharacterized LOC101929882
hsa:101929691	uncharacterized LOC101929691
hsa:101929715	uncharacterized LOC101929715
hsa:102723993	uncharacterized LOC102723993
hsa:102724007	uncharacterized LOC102724007
hsa:101929733	uncharacterized LOC101929733
hsa:101929752	uncharacterized LOC101929752
hsa:100506405	uncharacterized LOC100506405
hsa:101926952	uncharacterized LOC101926952
hsa:650157	peptidyl-prolyl cis-trans isomerase A-like
hsa:101928271	uncharacterized LOC101928271
hsa:102724948	uncharacterized LOC102724948
hsa:101928196	uncharacterized LOC101928196
hsa:102724898	uncharacterized LOC102724898
hsa:101928149	uncharacterized LOC101928149
hsa:101928129	uncharacterized LOC101928129
hsa:101929195	uncharacterized LOC101929195
hsa:100507562	uncharacterized LOC100507562
hsa:101929230	uncharacterized LOC101929230
hsa:101929251	uncharacterized LOC101929251
hsa:102723389	uncharacterized LOC102723389
hsa:102723401	uncharacterized LOC102723401
hsa:102723419	uncharacterized LOC102723419
hsa:101929272	uncharacterized LOC101929272
hsa:102723530	uncharacterized LOC102723530
hsa:100505774	uncharacterized LOC100505774
hsa:101929386	uncharacterized LOC101929386
hsa:101930384	uncharacterized LOC101930384
hsa:102723594	uncharacterized LOC102723594
hsa:285043	uncharacterized LOC285043
hsa:101929456	uncharacterized LOC101929456
hsa:101929477	uncharacterized LOC101929477
hsa:102725348	uncharacterized LOC102725348
hsa:101929500	uncharacterized LOC101929500
hsa:101929521	uncharacterized LOC101929521
hsa:101929542	uncharacterized LOC101929542
hsa:102723739	uncharacterized LOC102723739
hsa:100996902	uncharacterized LOC100996902
hsa:101929667	uncharacterized LOC101929667
hsa:101929700	uncharacterized LOC101929700
hsa:102723810	uncharacterized LOC102723810
hsa:102723824	uncharacterized LOC102723824
hsa:102723845	uncharacterized LOC102723845
hsa:102725386	uncharacterized LOC102725386
hsa:102723854	uncharacterized LOC102723854
hsa:100506047	uncharacterized LOC100506047
hsa:101929763	uncharacterized LOC101929763
hsa:102725399	uncharacterized LOC102725399
hsa:100130502	uncharacterized LOC100130502
hsa:102723947	uncharacterized LOC102723947
hsa:101926974	uncharacterized LOC101926974
hsa:102725420	uncharacterized LOC102725420
hsa:100506235	uncharacterized LOC100506235
hsa:102724008	uncharacterized LOC102724008
hsa:101927089	uncharacterized LOC101927089
hsa:730100	AC007682.1; uncharacterized LOC730100
hsa:101927144	uncharacterized LOC101927144
hsa:102724063	uncharacterized LOC102724063
hsa:102724072	uncharacterized LOC102724072
hsa:101927165	uncharacterized LOC101927165
hsa:100129434	AC007743.1; uncharacterized LOC100129434
hsa:101927213	uncharacterized LOC101927213
hsa:101927235	uncharacterized LOC101927235
hsa:102724142	uncharacterized LOC102724142
hsa:102724155	uncharacterized LOC102724155
hsa:100996924	uncharacterized LOC100996924
hsa:100507006	AC074289.1; uncharacterized LOC100507006
hsa:102724233	uncharacterized LOC102724233
hsa:100996770	uncharacterized LOC100996770
hsa:101927533	uncharacterized LOC101927533
hsa:101930566	uncharacterized LOC101930566
hsa:101927661	uncharacterized LOC101927661
hsa:101927684	uncharacterized LOC101927684
hsa:102724373	uncharacterized LOC102724373
hsa:102724389	uncharacterized LOC102724389
hsa:101927723	uncharacterized LOC101927723
hsa:101927803	uncharacterized LOC101927803
hsa:101927826	uncharacterized LOC101927826
hsa:102724482	uncharacterized LOC102724482
hsa:102724497	uncharacterized LOC102724497
hsa:102724515	LINC01291; long intergenic non-protein coding RNA 1291
hsa:101927861	LINC01293; long intergenic non-protein coding RNA 1293
hsa:101928031	uncharacterized LOC101928031
hsa:100996478	uncharacterized LOC100996478
hsa:102724579	uncharacterized LOC102724579
hsa:100996506	all-trans-retinol 13,14-reductase-like
hsa:101928082	uncharacterized LOC101928082
hsa:101928113	ST3GAL5-AS1; ST3GAL5 antisense RNA 1 (head to head)
hsa:102724965	collagen alpha-2(I) chain-like
hsa:101928347	uncharacterized LOC101928347
hsa:101928403	uncharacterized LOC101928403
hsa:102724805	uncharacterized LOC102724805
hsa:101928427	uncharacterized LOC101928427
hsa:102724332	uncharacterized LOC102724332
hsa:102725435	uncharacterized LOC102725435
hsa:102725453	uncharacterized LOC102725453
hsa:101926937	uncharacterized LOC101926937
hsa:102725526	uncharacterized LOC102725526
hsa:100509620	putative aquaporin-7-like protein 3-like
hsa:101926959	uncharacterized LOC101926959
hsa:100506036	uncharacterized LOC100506036
hsa:100996535	collagen alpha-1(I) chain-like
hsa:100506473	uncharacterized LOC100506473
hsa:101930523	uncharacterized LOC101930523
hsa:101927383	uncharacterized LOC101927383
hsa:101927331	uncharacterized LOC101927331
hsa:101927271	uncharacterized LOC101927271
hsa:100506286	uncharacterized LOC100506286
hsa:101927110	uncharacterized LOC101927110
hsa:101927070	uncharacterized LOC101927070
hsa:102725293	uncharacterized LOC102725293
hsa:100996919	putative T-cell surface glycoprotein CD8 beta-2 chain-like
hsa:102724744	uncharacterized LOC102724744
hsa:102724774	uncharacterized LOC102724774
hsa:644903	FLJ38668; uncharacterized LOC644903
hsa:729164	hCG1732469
hsa:102724819	uncharacterized LOC102724819
hsa:102725405	uncharacterized LOC102725405
hsa:101930385	glycosylphosphatidylinositol anchor attachment 1 protein-like
hsa:102725516	uncharacterized LOC102725516
hsa:101930489	uncharacterized LOC101930489
hsa:101927400	uncharacterized LOC101927400
hsa:101927382	uncharacterized LOC101927382
hsa:102724955	uncharacterized LOC102724955
hsa:101927330	uncharacterized LOC101927330
hsa:101930279	serine/arginine repetitive matrix protein 3-like
hsa:100125918	uncharacterized LOC100125918
hsa:101927764	uncharacterized LOC101927764
hsa:101927734	uncharacterized LOC101927734
hsa:100506797	uncharacterized LOC100506797
hsa:102723413	uncharacterized LOC102723413
hsa:101927614	uncharacterized LOC101927614
hsa:101927801	uncharacterized LOC101927801
hsa:102723551	uncharacterized LOC102723551
hsa:101927834	uncharacterized LOC101927834
hsa:101930571	tubulin alpha-3E chain-like
hsa:101930241	rho guanine nucleotide exchange factor 4-like
hsa:101928553	uncharacterized LOC101928553
hsa:101928526	uncharacterized LOC101928526
hsa:102723797	uncharacterized LOC102723797
hsa:101928361	uncharacterized LOC101928361
hsa:101928339	uncharacterized LOC101928339
hsa:102723718	uncharacterized LOC102723718
hsa:101928185	uncharacterized LOC101928185
hsa:101928067	uncharacterized LOC101928067
hsa:100507460	uncharacterized LOC100507460
hsa:101060825	serine/arginine repetitive matrix protein 2-like
hsa:101929356	uncharacterized LOC101929356
hsa:100131270	uncharacterized LOC100131270
hsa:102725484	uncharacterized LOC102725484
hsa:102723938	uncharacterized LOC102723938
hsa:102723949	uncharacterized LOC102723949, transcript variant X1
hsa:101929512	uncharacterized LOC101929512
hsa:101929615	uncharacterized LOC101929615
hsa:101929633	uncharacterized LOC101929633
hsa:101929658	uncharacterized LOC101929658
hsa:102724058	uncharacterized LOC102724058
hsa:102724067	uncharacterized LOC102724067
hsa:102724081	uncharacterized LOC102724081
hsa:100130256	AC007277.3; uncharacterized LOC100130256
hsa:101929753	uncharacterized LOC101929753
hsa:102724136	uncharacterized LOC102724136
hsa:101926931	uncharacterized LOC101926931
hsa:102724157	uncharacterized LOC102724157
hsa:100128905	uncharacterized LOC100128905
hsa:102724194	uncharacterized LOC102724194
hsa:100129455	uncharacterized LOC100129455
hsa:101930292	uncharacterized LOC101930292
hsa:101930299	uncharacterized LOC101930299
hsa:101927073	uncharacterized LOC101927073
hsa:101927156	AC104820.2; uncharacterized LOC101927156
hsa:102724288	uncharacterized LOC102724288
hsa:102724304	uncharacterized LOC102724304
hsa:101929976	uncharacterized LOC101929976
hsa:102724340	uncharacterized LOC102724340
hsa:102724349	FSIP2-AS1; FSIP2 antisense RNA 1
hsa:102724367	uncharacterized LOC102724367
hsa:102724395	uncharacterized LOC102724395
hsa:101927252	uncharacterized LOC101927252
hsa:102725423	uncharacterized LOC102725423
hsa:101927366	uncharacterized LOC101927366
hsa:101927454	uncharacterized LOC101927454
hsa:102724498	uncharacterized LOC102724498
hsa:101927596	uncharacterized LOC101927596
hsa:101927567	uncharacterized LOC101927567
hsa:101927665	uncharacterized LOC101927665
hsa:101927687	uncharacterized LOC101927687
hsa:101927741	uncharacterized LOC101927741
hsa:729224	uncharacterized LOC729224
hsa:102724650	uncharacterized LOC102724650
hsa:102724675	uncharacterized LOC102724675
hsa:102724692	uncharacterized LOC102724692
hsa:102724714	uncharacterized LOC102724714
hsa:101927960	uncharacterized LOC101927960
hsa:101927991	uncharacterized LOC101927991
hsa:102725485	uncharacterized LOC102725485
hsa:102725489	uncharacterized LOC102725489
hsa:101928084	uncharacterized LOC101928084
hsa:102724861	uncharacterized LOC102724861
hsa:100507554	uncharacterized LOC100507554
hsa:101928156	uncharacterized LOC101928156
hsa:101928180	uncharacterized LOC101928180
hsa:101928250	uncharacterized LOC101928250
hsa:101928278	uncharacterized LOC101928278
hsa:102723315	uncharacterized LOC102723315
hsa:102723329	uncharacterized LOC102723329
hsa:101928327	uncharacterized LOC101928327
hsa:102723977	ubiquitin-conjugating enzyme E2 variant 1-like
hsa:101928374	uncharacterized LOC101928374
hsa:102725407	uncharacterized LOC102725407
hsa:729770	uncharacterized LOC729770
hsa:101928662	uncharacterized LOC101928662
hsa:101928639	uncharacterized LOC101928639
hsa:102723421	uncharacterized LOC102723421
hsa:101928513	CATIP-AS1; CATIP antisense RNA 1
hsa:101928487	uncharacterized LOC101928487
hsa:101928816	uncharacterized LOC101928816
hsa:101928789	uncharacterized LOC101928789
hsa:101928765	uncharacterized LOC101928765
hsa:102723537	uncharacterized LOC102723537
hsa:102725368	uncharacterized LOC102725368
hsa:101928881	uncharacterized LOC101928881
hsa:101928854	uncharacterized LOC101928854
hsa:102725310	uncharacterized LOC102725310
hsa:101927831	dnaJ homolog subfamily B member 3-like
hsa:101927896	uncharacterized LOC101927896
hsa:93463	AC105760.3; uncharacterized LOC93463
hsa:101927958	uncharacterized LOC101927958
hsa:101930480	uncharacterized LOC101930480
hsa:401040	FLJ45964; uncharacterized LOC401040
hsa:102725340	uncharacterized LOC102725340
hsa:101928111	uncharacterized LOC101928111
hsa:101927147	uncharacterized LOC101927147
hsa:102723825	uncharacterized LOC102723825
hsa:285191	AC011298.2; uncharacterized LOC285191
